Date,Topic,rank
2020-10-05T00:00:00Z,Content,3
2020-10-12T00:00:00Z,Content,3
2020-10-19T00:00:00Z,Content,4
2020-10-26T00:00:00Z,Content,3
2020-11-02T00:00:00Z,Content,4
2020-11-09T00:00:00Z,Content,4
2020-11-16T00:00:00Z,Content,4
2020-11-23T00:00:00Z,Content,4
2020-11-30T00:00:00Z,Content,4
2020-12-07T00:00:00Z,Content,4
2020-12-14T00:00:00Z,Content,4
2020-12-21T00:00:00Z,Content,4
2020-12-28T00:00:00Z,Content,4
2021-01-04T00:00:00Z,Content,4
2021-01-11T00:00:00Z,Content,4
2021-01-18T00:00:00Z,Content,4
2021-01-25T00:00:00Z,Content,4
2020-09-07T00:00:00Z,Brand Safety,7
2020-09-14T00:00:00Z,Brand Safety,6
2020-09-21T00:00:00Z,Brand Safety,6
2020-09-28T00:00:00Z,Brand Safety,8
2020-10-05T00:00:00Z,Brand Safety,6
2020-10-12T00:00:00Z,Brand Safety,8
2020-10-19T00:00:00Z,Brand Safety,7
2020-10-26T00:00:00Z,Brand Safety,7
2020-11-02T00:00:00Z,Brand Safety,7
2020-11-09T00:00:00Z,Brand Safety,7
2020-11-16T00:00:00Z,Brand Safety,7
2020-11-23T00:00:00Z,Brand Safety,5
2020-11-30T00:00:00Z,Brand Safety,9
2020-12-07T00:00:00Z,Brand Safety,7
2020-12-14T00:00:00Z,Brand Safety,5
2020-12-21T00:00:00Z,Brand Safety,8
2020-12-28T00:00:00Z,Brand Safety,9
2021-01-04T00:00:00Z,Brand Safety,8
2021-01-11T00:00:00Z,Brand Safety,6
2021-01-18T00:00:00Z,Brand Safety,7
2021-01-25T00:00:00Z,Brand Safety,6
2020-09-07T00:00:00Z,Copyright,10
2020-09-14T00:00:00Z,Copyright,10
2020-09-21T00:00:00Z,Copyright,10
2020-09-28T00:00:00Z,Copyright,10
2020-10-05T00:00:00Z,Copyright,10
2020-10-12T00:00:00Z,Copyright,9
2020-10-19T00:00:00Z,Copyright,8
2020-10-26T00:00:00Z,Copyright,9
2020-11-02T00:00:00Z,Copyright,10
2020-11-09T00:00:00Z,Copyright,10
2020-11-16T00:00:00Z,Copyright,8
2020-11-23T00:00:00Z,Copyright,10
2020-11-30T00:00:00Z,Copyright,10
2020-12-07T00:00:00Z,Copyright,10
2020-12-14T00:00:00Z,Copyright,10
2020-12-21T00:00:00Z,Copyright,5
2020-12-28T00:00:00Z,Copyright,7
2021-01-04T00:00:00Z,Copyright,10
2021-01-11T00:00:00Z,Copyright,8
2021-01-18T00:00:00Z,Copyright,10
2021-01-25T00:00:00Z,Copyright,10
2020-09-07T00:00:00Z,Taxation,8
2020-09-14T00:00:00Z,Taxation,9
2020-09-21T00:00:00Z,Taxation,9
2020-09-28T00:00:00Z,Taxation,9
2020-10-05T00:00:00Z,Taxation,9
2020-10-12T00:00:00Z,Taxation,6
2020-10-19T00:00:00Z,Taxation,10
2020-10-26T00:00:00Z,Taxation,10
2020-11-02T00:00:00Z,Taxation,9
2020-11-09T00:00:00Z,Taxation,9
2020-11-16T00:00:00Z,Taxation,10
2020-11-23T00:00:00Z,Taxation,6
2020-11-30T00:00:00Z,Taxation,8
2020-12-07T00:00:00Z,Taxation,9
2020-12-14T00:00:00Z,Taxation,9
2020-12-21T00:00:00Z,Taxation,9
2020-12-28T00:00:00Z,Taxation,8
2021-01-04T00:00:00Z,Taxation,7
2021-01-11T00:00:00Z,Taxation,10
2021-01-18T00:00:00Z,Taxation,9
2021-01-25T00:00:00Z,Taxation,8
